lat,lon,probability
22.5,83.25,0.9574
22.5,83.5,0.85
22.5,83.75,0.9589
22.75,76.0,0.832
22.75,76.25,0.6596
22.75,76.5,0.8054
22.75,76.75,0.6425
22.75,77.0,0.774
22.75,77.25,0.8815
22.75,77.5,0.8768
22.75,77.75,0.8662
22.75,78.0,0.9513
22.75,78.25,0.9303
22.75,78.5,0.9023
22.75,78.75,0.9001
22.75,79.0,0.9882
22.75,79.25,0.8153
22.75,79.5,0.732
22.75,79.75,0.7996
22.75,80.0,0.9338
22.75,80.25,0.9256
22.75,80.5,0.9392
22.75,80.75,0.7389
22.75,81.0,0.8823
22.75,81.25,0.9632
22.75,81.5,0.68
22.75,81.75,0.9434
22.75,82.0,0.8731
22.75,82.25,0.8411
22.75,82.5,0.9644
22.75,82.75,0.8437
22.75,83.0,0.9972
22.75,83.25,0.906
22.75,83.5,0.666
22.75,83.75,0.9982
23.0,76.0,0.8866
23.0,76.25,0.8101
23.0,76.5,0.8837
23.0,76.75,0.8595
23.0,77.0,0.7072
23.0,77.25,0.6862
23.0,77.5,0.735
23.0,77.75,0.8713
23.0,78.0,0.9782
23.0,78.25,0.8765
23.0,78.5,0.8531
23.0,78.75,0.9284
23.0,79.0,0.8045
23.0,79.25,0.9786
23.0,79.5,0.7958
23.0,79.75,0.7281
23.0,80.0,0.7373
23.0,80.25,0.7411
23.0,80.5,0.514
23.0,80.75,0.754
23.0,81.0,0.7406
23.0,81.25,0.8709
23.0,81.5,0.908
23.0,81.75,0.9518
23.0,82.0,0.8656
23.0,82.25,0.972
23.0,82.5,0.9498
23.0,82.75,0.8331
23.0,83.0,0.8578
23.0,83.25,0.8631
23.0,83.5,0.9049
23.0,83.75,0.9761
23.25,76.0,0.7482
23.25,76.25,0.784
23.25,76.5,0.6532
23.25,76.75,0.924
23.25,77.0,0.8549
23.25,77.25,0.8975
23.25,77.5,0.8844
23.25,77.75,0.9138
23.25,78.0,0.7869
23.25,78.25,0.9307
23.25,78.5,0.8197
23.25,78.75,0.5735
23.25,79.0,0.8842
23.25,79.25,0.777
23.25,79.5,0.8338
23.25,79.75,0.8961
23.25,80.0,0.9602
23.25,80.25,0.9052
23.25,80.5,0.7146
23.25,80.75,0.852
23.25,81.0,0.9828
23.25,81.25,0.8334
23.25,81.5,0.9384
23.25,81.75,0.9849
23.25,82.0,0.9761
23.25,82.25,0.8314
23.25,82.5,0.9105
23.25,82.75,0.8279
23.25,83.0,0.9329
23.25,83.25,0.7628
23.25,83.5,0.9873
23.25,83.75,0.7297
23.5,76.0,0.7078
23.5,76.25,0.7644
23.5,76.5,0.7224
23.5,76.75,0.686
23.5,77.0,0.7119
23.5,77.25,0.7549
23.5,77.5,0.8247
23.5,77.75,0.8214
23.5,78.0,0.6521
23.5,78.25,0.7759
23.5,78.5,0.6601
23.5,78.75,0.8523
23.5,79.0,0.9365
23.5,79.25,0.572
23.5,79.5,0.7163
23.5,79.75,0.8877
23.5,80.0,0.9816
23.5,80.25,0.9034
23.5,80.5,0.9779
23.5,80.75,0.8197
23.5,81.0,0.7776
23.5,81.25,0.7138
23.5,81.5,0.9761
23.5,81.75,0.8339
23.5,82.0,0.9972
23.5,82.25,0.9439
23.5,82.5,0.9321
23.5,82.75,0.7412
23.5,83.0,0.9706
23.5,83.25,0.9109
23.5,83.5,0.99
23.5,83.75,0.919
23.75,76.0,0.6934
23.75,76.25,0.7377
23.75,76.5,0.7304
23.75,76.75,0.6575
23.75,77.0,0.6912
23.75,77.25,0.73
23.75,77.5,0.8324
23.75,77.75,0.7083
23.75,78.0,0.7239
23.75,78.25,0.6906
